# RadGy	HullArea	GeodesicLength
1.4072e+02 6.9336e+05 7.4298e+01
1.4153e+02 6.9714e+05 7.0664e+01
1.4463e+02 1.0800e+06 6.1029e+01
1.4959e+02 7.5411e+05 7.8514e+01
1.4761e+02 8.0707e+05 1.3659e+02
1.4768e+02 7.6257e+05 7.7772e+01
1.4630e+02 7.7317e+05 9.3238e+01
1.4203e+02 7.1850e+05 7.6609e+01
1.4175e+02 7.3656e+05 7.2567e+01
1.4126e+02 7.5354e+05 8.2551e+01
1.4209e+02 6.8728e+05 6.1054e+01
1.4072e+02 6.2680e+05 6.1789e+01
1.3671e+02 5.6252e+05 6.5506e+01
1.3788e+02 6.2101e+05 7.4851e+01
1.3985e+02 6.0818e+05 6.8335e+01
1.3741e+02 5.7830e+05 6.9385e+01
1.3291e+02 5.1578e+05 6.3628e+01
1.3539e+02 5.0538e+05 7.2840e+01
1.3390e+02 4.8484e+05 6.8344e+01
1.3421e+02 5.0919e+05 7.6301e+01
1.3958e+02 6.7804e+05 7.1186e+01
1.4018e+02 6.6799e+05 6.2868e+01
1.4373e+02 7.2993e+05 7.5170e+01
1.4090e+02 7.2910e+05 7.7389e+01
1.4401e+02 7.7487e+05 7.4061e+01
1.4478e+02 7.7117e+05 8.7526e+01
1.4415e+02 7.6844e+05 7.4173e+01
1.4726e+02 7.9640e+05 7.1563e+01
1.4971e+02 8.3572e+05 6.3765e+01
1.5005e+02 9.5423e+05 6.0233e+01
1.3621e+02 5.7936e+05 6.5391e+01
1.4263e+02 7.4053e+05 6.9366e+01
1.4525e+02 7.2593e+05 7.0567e+01
1.4382e+02 7.4936e+05 5.8494e+01
1.3948e+02 6.8535e+05 6.9010e+01
1.4061e+02 1.0239e+06 5.6269e+01
1.4600e+02 1.1140e+06 6.8557e+01
1.4402e+02 7.8850e+05 5.9750e+01
1.4725e+02 8.1868e+05 7.1263e+01
1.4560e+02 8.3872e+05 6.5170e+01
1.4364e+02 6.6054e+05 7.0145e+01
1.4567e+02 8.3372e+05 6.1196e+01
1.4920e+02 9.1126e+05 7.2601e+01
1.4685e+02 9.9774e+05 8.1104e+01
1.4514e+02 1.0416e+06 5.7056e+01
1.4683e+02 8.9940e+05 7.0216e+01
1.4804e+02 1.2114e+06 5.3845e+01
1.4799e+02 1.1804e+06 5.7011e+01
1.4563e+02 1.2538e+06 5.6544e+01
1.5055e+02 1.4278e+06 7.1591e+01
1.3244e+02 5.3751e+05 6.9774e+01
1.3772e+02 5.6921e+05 6.4505e+01
1.3492e+02 5.4182e+05 7.7855e+01
1.3469e+02 5.3163e+05 7.8077e+01
1.3513e+02 6.2173e+05 8.1632e+01
1.3914e+02 6.0050e+05 7.6533e+01
1.4081e+02 6.5482e+05 8.0875e+01
1.4041e+02 6.2253e+05 8.0142e+01
1.4009e+02 6.4981e+05 7.6792e+01
1.4116e+02 7.0380e+05 7.4730e+01
1.3662e+02 6.7261e+05 7.0718e+01
1.4205e+02 1.1002e+06 8.1612e+01
1.4107e+02 7.3915e+05 6.4501e+01
1.4287e+02 6.9042e+05 9.5712e+01
1.4200e+02 6.7746e+05 7.6287e+01
1.4214e+02 6.7124e+05 8.4840e+01
1.4074e+02 6.3714e+05 7.9206e+01
1.4201e+02 6.4786e+05 7.0185e+01
1.4276e+02 6.4409e+05 7.7128e+01
1.4508e+02 6.7760e+05 6.7377e+01
1.4479e+02 6.9292e+05 7.1819e+01
1.3826e+02 6.3599e+05 6.7790e+01
1.3574e+02 6.2845e+05 6.5528e+01
1.3823e+02 6.6103e+05 8.2342e+01
1.3886e+02 6.8065e+05 7.0122e+01
1.4007e+02 7.1402e+05 6.1202e+01
1.4062e+02 7.3175e+05 7.0761e+01
1.4615e+02 8.0541e+05 8.5400e+01
1.4016e+02 7.2832e+05 9.7017e+01
1.4302e+02 6.9426e+05 7.1301e+01
1.4255e+02 6.2650e+05 7.0019e+01
1.4061e+02 5.6368e+05 6.9547e+01
1.4002e+02 5.6134e+05 6.8907e+01
1.4101e+02 5.7078e+05 8.6014e+01
1.4041e+02 5.5572e+05 7.3779e+01
1.4210e+02 5.7086e+05 9.4681e+01
1.4172e+02 5.8602e+05 7.3279e+01
1.3757e+02 5.3246e+05 6.9280e+01
1.3762e+02 5.0494e+05 7.0867e+01
1.3376e+02 5.3319e+05 7.9808e+01
1.4198e+02 5.9797e+05 7.7462e+01
1.3794e+02 5.1952e+05 7.2147e+01
1.4061e+02 5.5923e+05 7.4996e+01
1.4027e+02 6.0748e+05 7.0005e+01
1.3888e+02 5.8525e+05 6.9812e+01
1.3781e+02 6.1561e+05 7.5673e+01
1.3788e+02 5.8876e+05 6.7841e+01
1.3704e+02 6.0178e+05 6.5246e+01
1.3528e+02 5.7121e+05 6.3762e+01
1.3534e+02 5.7926e+05 8.4949e+01
