# RadGy	HullArea	GeodesicLength
1.0062e+02 2.4318e+05 4.4970e+01
1.0079e+02 2.3528e+05 4.5714e+01
1.0003e+02 2.4141e+05 4.7997e+01
9.9553e+01 2.3425e+05 4.5702e+01
9.9318e+01 2.3115e+05 4.6152e+01
9.9269e+01 2.3753e+05 5.3467e+01
1.0021e+02 2.4746e+05 4.9224e+01
1.0034e+02 2.4294e+05 4.9157e+01
1.0030e+02 2.3408e+05 4.8528e+01
1.0105e+02 2.4633e+05 5.0483e+01
1.0066e+02 2.3839e+05 4.8246e+01
1.0077e+02 2.4228e+05 5.5366e+01
1.0086e+02 2.4970e+05 4.6446e+01
1.0006e+02 2.3918e+05 4.5211e+01
9.9536e+01 2.3593e+05 4.8162e+01
1.0132e+02 2.4513e+05 4.7992e+01
9.9531e+01 2.4717e+05 6.1222e+01
9.9857e+01 2.4247e+05 6.0733e+01
1.0056e+02 2.4308e+05 5.0134e+01
1.0136e+02 2.4029e+05 4.6880e+01
9.9599e+01 2.4371e+05 4.6553e+01
9.9958e+01 2.3910e+05 4.6074e+01
1.0038e+02 2.3941e+05 4.6470e+01
1.0169e+02 2.5145e+05 4.5093e+01
9.8895e+01 2.3358e+05 4.7967e+01
1.0055e+02 2.3721e+05 4.9724e+01
9.9463e+01 2.3327e+05 4.5077e+01
9.9898e+01 2.4503e+05 4.5668e+01
1.0021e+02 2.3796e+05 4.5733e+01
9.9671e+01 2.3003e+05 4.9479e+01
9.9001e+01 2.2715e+05 4.5054e+01
1.0011e+02 2.4414e+05 4.6215e+01
1.0085e+02 2.4032e+05 4.9696e+01
1.0093e+02 2.4040e+05 4.9582e+01
9.9337e+01 2.3899e+05 5.1122e+01
9.9070e+01 2.3078e+05 4.5377e+01
1.0028e+02 2.3665e+05 4.5545e+01
9.9878e+01 2.3566e+05 4.9466e+01
9.9020e+01 2.3899e+05 4.8955e+01
9.9600e+01 2.3900e+05 4.6372e+01
9.9602e+01 2.3081e+05 4.5049e+01
9.9683e+01 2.3988e+05 4.5059e+01
9.9631e+01 2.3352e+05 5.0880e+01
1.0052e+02 2.4101e+05 4.6761e+01
9.9901e+01 2.3457e+05 4.5146e+01
9.9266e+01 2.3710e+05 4.8139e+01
1.0040e+02 2.4003e+05 4.9327e+01
1.0020e+02 2.3594e+05 5.2593e+01
9.9807e+01 2.3083e+05 4.7346e+01
1.0062e+02 2.4437e+05 4.8522e+01
9.9730e+01 2.3720e+05 4.5951e+01
1.0068e+02 2.3514e+05 4.8040e+01
1.0011e+02 2.3264e+05 4.7270e+01
1.0107e+02 2.4881e+05 4.6618e+01
1.0014e+02 2.4006e+05 4.7648e+01
1.0017e+02 2.3730e+05 4.5687e+01
9.9552e+01 2.3551e+05 4.5773e+01
9.9977e+01 2.4199e+05 4.5144e+01
1.0003e+02 2.3342e+05 4.7355e+01
1.0082e+02 2.4785e+05 4.6226e+01
9.9016e+01 2.3422e+05 5.3030e+01
9.9169e+01 2.3473e+05 5.1173e+01
9.9209e+01 2.4296e+05 5.0414e+01
1.0056e+02 2.4684e+05 4.6841e+01
1.0107e+02 2.4821e+05 4.8959e+01
1.0026e+02 2.4156e+05 4.9882e+01
9.9987e+01 2.3953e+05 4.7730e+01
1.0016e+02 2.4588e+05 4.8330e+01
1.0110e+02 2.4285e+05 5.1716e+01
9.9986e+01 2.3387e+05 4.7463e+01
1.0032e+02 2.4454e+05 4.6018e+01
1.0082e+02 2.4483e+05 4.7124e+01
9.9980e+01 2.4462e+05 4.9890e+01
9.9800e+01 2.3515e+05 4.6994e+01
1.0099e+02 2.4674e+05 4.9163e+01
1.0041e+02 2.3974e+05 4.5740e+01
1.0049e+02 2.4389e+05 4.8377e+01
1.0048e+02 2.3877e+05 4.8294e+01
1.0002e+02 2.3994e+05 4.8496e+01
1.0125e+02 2.5122e+05 5.9872e+01
9.9909e+01 2.4148e+05 5.3111e+01
9.9904e+01 2.3702e+05 4.6930e+01
1.0026e+02 2.3806e+05 4.7884e+01
9.9970e+01 2.4114e+05 5.0060e+01
9.9851e+01 2.3490e+05 4.7622e+01
9.9964e+01 2.3337e+05 4.9978e+01
1.0100e+02 2.4271e+05 4.9404e+01
9.9748e+01 2.4125e+05 5.0573e+01
9.9383e+01 2.3570e+05 4.8880e+01
9.9310e+01 2.2838e+05 4.8956e+01
1.0002e+02 2.3930e+05 4.7718e+01
9.9822e+01 2.3829e+05 4.5204e+01
1.0135e+02 2.4795e+05 4.5423e+01
1.0064e+02 2.4645e+05 4.9116e+01
1.0081e+02 2.4369e+05 4.7953e+01
1.0081e+02 2.4070e+05 4.9203e+01
9.9630e+01 2.3458e+05 4.5529e+01
1.0037e+02 2.3607e+05 4.8647e+01
9.9918e+01 2.2950e+05 4.6781e+01
1.0109e+02 2.4155e+05 4.5864e+01
