# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
301000000 312.64857987105642678 4658.7981989603658803 2916.5881887343621202 -1373.5561223895952025 1559.8689847388845919 2730.2753263850727308 5291
302000000 313.86453880727276555 4676.9172875050526272 2859.1270513514109552 -1408.3292957128546732 1555.841448236945098 2711.6148988273207578 5292
303000000 307.93807924614702642 4588.6067020516629782 2874.0227478471801987 -1414.2288000514749911 1579.1940019745975405 2709.057545924058104 5292
304000000 312.38607642652601726 4654.8866169051916586 2822.259261759144465 -1378.5334904194410228 1516.2439246850267409 2684.5488274935587469 5292
305000000 312.43238986186764805 4655.5767366212203342 2831.8659543823150671 -1392.1674041302342175 1581.4854190838464092 2642.5479394287031027 5292
306000000 307.48684259657153461 4581.8827934024875503 2873.8907248872442324 -1397.4538904529135834 1600.2063233935373319 2671.1382919466200292 5292
307000000 306.53857135166560965 4567.7525377342371939 2861.1444592301186276 -1357.5759428473534172 1522.4789033249610384 2696.241498752510779 5292
308000000 311.63346631375918605 4643.6719213536443931 2797.616027680539446 -1414.3436359136844658 1524.4613567688975309 2687.4983068253259262 5292
309000000 308.3606695271632816 4594.9037491737335586 2847.8694814889777263 -1397.9883048197614244 1563.8713683673497599 2681.9864179413893908 5291
310000000 311.43962562444693276 4640.7834877819150279 2751.9755390799864472 -1388.2940225336897129 1527.065961052233888 2613.203600561442272 5291
311000000 305.06840327589628714 4545.8454611488004957 2920.88989902182675 -1362.0643719439217421 1561.0440039821235132 2721.9102669836247514 5291
312000000 309.68146710427333801 4614.5850455863683237 2900.571336814589813 -1436.6182434437591837 1606.6765942716810969 2730.5129859866678999 5291
313000000 308.76440390725804264 4600.9198232068210928 2818.3683149873832008 -1439.540964424668573 1531.5025746771166268 2726.4067047349353743 5289
314000000 313.02302047782291083 4664.377764442930129 2798.0270248212982551 -1390.3140498866900998 1526.7297728312726122 2661.6113018767159701 5289
315000000 309.18380818014918532 4607.1693954005841078 2868.9446993647679847 -1410.7097336324732169 1584.0628686832628773 2695.5915643139783242 5289
316000000 305.75674562847075322 4556.1024983429715576 2827.7758405920949372 -1440.3327278298311285 1509.913180581606639 2758.1953878403196541 5291
317000000 312.46980078901208344 4656.1341994444119337 2851.5175495417011007 -1392.072123703604575 1544.9776908419771644 2698.6119824033285113 5291
318000000 302.83786330392393893 4512.6080301378560762 2879.5297107922624491 -1365.1609798106253493 1554.4714717062258842 2690.2192188966623689 5291
319000000 312.25476292542617784 4652.9299053068998546 2863.9938570812682883 -1349.0184093470081734 1542.6829359622106494 2670.3293304660664944 5292
320000000 316.3939738080243842 4714.6085740950929903 2959.229402508946805 -1348.3278469008996581 1570.9962099706199297 2736.5610394392269882 5292
321000000 311.42595176918359812 4640.5797327151240097 2859.3061962059719008 -1368.5392105960293065 1586.9246346093227658 2640.9207721926786689 5292
322000000 312.44519727718915192 4655.7675808062722353 2918.9654760931143755 -1344.7675312112514803 1562.2899135871780345 2701.4430937171878213 5291
323000000 313.22890774949632942 4667.4457049749371436 2878.4132477175767235 -1358.3851679517611046 1586.4715652678655715 2650.3268504014718019 5290
324000000 308.73477040720780451 4600.4782523648236747 2840.1827160089283097 -1429.2212409213370847 1552.0539484273531343 2717.3500085029118054 5290
325000000 313.39145390581757056 4669.8678165374767559 2973.4175784048829883 -1383.3539562761957313 1647.3152387389995965 2709.4562959420791231 5290
326000000 310.52341620583911208 4627.1309876137038373 2771.2189890252266196 -1447.9637362887945073 1537.262226781810341 2681.9204985322107859 5290
327000000 314.96387298211510597 4693.298542382089181 2922.7013004888649448 -1388.60858161416445 1589.7559860695205316 2721.5538960335084084 5291
328000000 309.9954855083755092 4619.2642556313176101 2870.8905542102083928 -1341.3678324953991705 1524.4576211420655909 2687.8007655635424271 5289
329000000 304.98790214541793375 4544.6459082135479548 2937.45139132295526 -1357.7535158315058652 1545.4092505412068022 2749.795656613254323 5289
330000000 314.60371435421228625 4687.9317936583120172 2900.8160816543113469 -1369.9796605003143668 1594.1554554319325234 2676.6402867226934177 5290
331000000 302.01131305753148126 4500.2915475207546478 2913.7409805155607501 -1405.9301464531429247 1571.9323049186552907 2747.738822050048384 5292
332000000 307.17192835821680319 4577.1902344691352482 2922.496598182894104 -1368.3056357796779139 1608.3676254954275464 2682.4346084671446988 5292
333000000 305.07193892601890184 4545.8981461167932139 2896.4288745274734538 -1426.7369709463700929 1561.9128129917075967 2761.2530324821354952 5291
334000000 306.64738298403005956 4569.3739474239737319 2754.7629866855354521 -1408.7559896600596403 1537.659378931186211 2625.859597414408654 5293
335000000 301.57917662146553539 4493.8522524794034325 2858.498958594920623 -1376.7420902455596661 1549.4907700303804177 2685.750278810099644 5293
336000000 312.52192120866277492 4656.9108494368665561 2835.577814455582029 -1335.5192423372520807 1561.3946769943845538 2609.7023797984493285 5293
337000000 309.12108853827686517 4606.23480566179569 2939.3432580841390518 -1370.0011104764109859 1579.5804860594673755 2729.7638825010826622 5293
338000000 307.58627514357891641 4583.36444469003618 2842.8550565567502417 -1368.0041846131043712 1559.8577178110028854 2651.001523358851955 5293
339000000 305.58523005613068335 4553.5467328894992534 2879.5350133244783137 -1412.3785429307683899 1596.00134223414193 2695.9122140211047736 5291
340000000 307.74232309960797238 4585.6897261187868935 2843.4040654305163116 -1405.0374583923021419 1527.4936477707333324 2720.9478760520846663 5291
341000000 310.18692939584707347 4622.1169742923848389 2882.9920807239564056 -1420.3410103440005514 1581.665389102442532 2721.667701965514425 5292
342000000 306.69355753209271143 4570.0619975710133076 2833.8372985650266855 -1400.5573897167121231 1555.3267383433897066 2679.0679499383486473 5293
343000000 307.66865727373289019 4584.5920265320710314 2919.1859547629846929 -1364.2966422802396664 1572.2118688545624536 2711.270728188661451 5291
344000000 308.01181025061930541 4589.7053728691817014 2966.4209891057903405 -1363.9591627577808595 1592.8136009923139227 2737.5665508712572773 5291
345000000 310.2344642433886861 4622.8252943564202724 2885.3432207278574424 -1362.0371780739915266 1558.2515639894988908 2689.1288348123498508 5292
346000000 315.52022364371151752 4701.5887622234986338 2983.9117827451473204 -1356.8780100501221568 1578.3256908057273904 2762.4641019895425416 5291
347000000 313.35958975864565446 4669.3930066678240109 2956.171680427838055 -1357.87973456463601 1596.3591656845992475 2717.6922493078750449 5293
348000000 320.03329301583096367 4768.8383223247628848 2832.7754079615010596 -1385.5618979456216948 1553.6752401149049092 2664.6620657922180726 5293
349000000 308.74591724571484974 4600.6443521794535627 2878.9127554442075052 -1336.2702589010270913 1552.6963863368389411 2662.4866280083961101 5293
350000000 308.97056247215630265 4603.9918062980104878 2954.5105229702312499 -1380.5431241599608256 1591.0195930557765678 2744.0340540744155078 5293
351000000 308.62505535264847367 4598.8433807182273085 2984.2931085227273797 -1333.9575373333020707 1599.1641424148972419 2719.0865034411317538 5294
352000000 311.04191954908645812 4634.8572419362790242 2926.1105964496391607 -1408.2519059863425355 1575.9071429556265684 2758.4553594803555825 5292
353000000 310.04833301811135016 4620.0517400436192474 2841.1978052089898483 -1377.9238602173368236 1539.7839526292768824 2679.3377127970497895 5292
354000000 311.19199532712076461 4637.0935315260221614 2895.8327497235964074 -1357.8763153744109786 1546.6843317566344922 2707.0247333413726665 5293
355000000 302.79952204067461707 4512.0367043117630601 2885.0353879733861504 -1359.0513394180889009 1538.3824190589293721 2705.7043083325452244 5292
356000000 308.12655065381858321 4591.4151275848216756 2939.3988834814063011 -1340.3396129839034074 1579.9728219314163198 2699.7656745338936162 5292
357000000 310.38348886381248803 4625.0459205736169679 2879.0637753944643009 -1347.7541621180291713 1548.7772822300710232 2678.0406552824229038 5292
358000000 308.55134501644818101 4597.7450178800645517 2873.3660938571556471 -1373.3274593539977104 1573.8623168275521493 2672.8312363836012082 5292
359000000 304.35853844458722506 4535.2677160044859193 3008.6823870320758942 -1338.6499735173342742 1649.1163270770437066 2698.2160334723657797 5293
360000000 321.64689375772070434 4792.8826990280158498 2787.7747565478011893 -1356.8070992365119309 1531.4321155904713123 2613.1497401938418079 5292
361000000 307.07928177302505901 4575.8097012698190156 2964.4709846029504661 -1335.6549982641940915 1565.5498751408640601 2734.5761077262804974 5293
362000000 310.16802876510649867 4621.8353346812609743 2836.1173992474550687 -1366.9562853791824182 1501.0290112929192219 2702.0446733337189471 5293
363000000 313.33597886134839428 4669.0411790476573515 2866.3232656150835282 -1352.0206234977295026 1534.8316643016021317 2683.5122248112106718 5294
