# ColVar Mean_PMF Std_PMF
1.3250e+02 1.2450e+00 5.2011e-01
1.3350e+02 1.1497e+00 2.3576e-01
1.3450e+02 1.3184e+00 3.9727e-01
1.3550e+02 1.2498e+00 4.6374e-01
1.3650e+02 1.0595e+00 3.7283e-01
1.3750e+02 1.1055e+00 4.5719e-01
1.3850e+02 1.2532e+00 3.4754e-01
1.3950e+02 1.4459e+00 4.4023e-01
1.4050e+02 1.1742e+00 2.3289e-01
1.4150e+02 1.1523e+00 2.0381e-01
1.4250e+02 1.0352e+00 1.2607e-01
1.4350e+02 1.2258e+00 2.8123e-01
1.4450e+02 1.2624e+00 3.7960e-01
1.4550e+02 1.2493e+00 3.8140e-01
1.4650e+02 1.2070e+00 4.1826e-01
1.4750e+02 1.3809e+00 4.6852e-01
1.4850e+02 1.4827e+00 3.3398e-01
1.4950e+02 1.3785e+00 3.3158e-01
1.5050e+02 1.3193e+00 2.4575e-01
1.5150e+02 1.1658e+00 2.0977e-01
1.5250e+02 1.4236e+00 2.3264e-01
1.5350e+02 1.4887e+00 2.5482e-01
1.5450e+02 1.4537e+00 1.1367e-01
1.5550e+02 1.4368e+00 2.1161e-01
1.5650e+02 1.5058e+00 3.1766e-01
1.5750e+02 1.6735e+00 7.5797e-01
1.5850e+02 1.8762e+00 5.6012e-01
1.5950e+02 1.6134e+00 3.6548e-01
1.6050e+02 1.6736e+00 2.7466e-01
1.6150e+02 1.8105e+00 3.8219e-01
1.6250e+02 1.7869e+00 3.9365e-01
1.6350e+02 1.6010e+00 2.1570e-01
1.6450e+02 1.5927e+00 3.1786e-01
1.6550e+02 1.3989e+00 1.4419e-01
1.6650e+02 1.3801e+00 2.2011e-01
1.6750e+02 1.3308e+00 2.3944e-01
1.6850e+02 1.5291e+00 4.5147e-01
1.6950e+02 1.6948e+00 3.8516e-01
1.7050e+02 1.8383e+00 4.4487e-01
1.7150e+02 1.8398e+00 3.6976e-01
1.7250e+02 1.8725e+00 5.1975e-01
1.7350e+02 1.5639e+00 3.2858e-01
1.7450e+02 1.7638e+00 1.7045e-01
1.7550e+02 1.9677e+00 1.2627e-01
1.7650e+02 2.0666e+00 3.6673e-01
1.7750e+02 1.7690e+00 3.0779e-01
1.7850e+02 1.6672e+00 2.0212e-01
1.7950e+02 1.7349e+00 2.6939e-01
1.8050e+02 1.6515e+00 3.4658e-01
1.8150e+02 1.7737e+00 3.6392e-01
1.8250e+02 1.7805e+00 4.4459e-01
1.8350e+02 1.8549e+00 3.6618e-01
1.8450e+02 1.7097e+00 2.9583e-01
1.8550e+02 1.5670e+00 2.3613e-01
1.8650e+02 1.5629e+00 1.8987e-01
1.8750e+02 1.6140e+00 2.3310e-01
1.8850e+02 1.5880e+00 2.7896e-01
1.8950e+02 1.7183e+00 2.2305e-01
1.9050e+02 1.7471e+00 2.8010e-01
1.9150e+02 1.8373e+00 3.7071e-01
1.9250e+02 1.8315e+00 5.1207e-01
1.9350e+02 1.8495e+00 3.8993e-01
1.9450e+02 1.6691e+00 3.4843e-01
1.9550e+02 1.6217e+00 2.7997e-01
1.9650e+02 1.8017e+00 4.9882e-01
1.9750e+02 1.9617e+00 5.7433e-01
1.9850e+02 2.0976e+00 3.5330e-01
1.9950e+02 2.3373e+00 3.0562e-01
2.0050e+02 2.1088e+00 3.0591e-01
2.0150e+02 2.1679e+00 2.4960e-01
2.0250e+02 1.7529e+00 4.2057e-01
2.0350e+02 1.9012e+00 4.3716e-01
2.0450e+02 2.0182e+00 4.5939e-01
2.0550e+02 2.0122e+00 6.2599e-01
2.0650e+02 1.9892e+00 5.2790e-01
2.0750e+02 1.8400e+00 3.3895e-01
2.0850e+02 1.7598e+00 3.6704e-01
2.0950e+02 1.8333e+00 2.8830e-01
2.1050e+02 2.0421e+00 6.0311e-01
2.1150e+02 1.9940e+00 4.7183e-01
2.1250e+02 1.8907e+00 4.3093e-01
2.1350e+02 2.0692e+00 3.4927e-01
2.1450e+02 2.1561e+00 2.7805e-01
2.1550e+02 2.1076e+00 2.3994e-01
2.1650e+02 2.1614e+00 4.8652e-01
2.1750e+02 1.9510e+00 3.5610e-01
2.1850e+02 1.7636e+00 3.9578e-01
2.1950e+02 1.7867e+00 3.9870e-01
2.2050e+02 1.8160e+00 4.0178e-01
2.2150e+02 1.9698e+00 5.4352e-01
2.2250e+02 2.0435e+00 3.5025e-01
2.2350e+02 1.9538e+00 1.9446e-01
2.2450e+02 1.9197e+00 2.0344e-01
2.2550e+02 2.3703e+00 3.0278e-01
2.2650e+02 2.4237e+00 3.7518e-01
2.2750e+02 2.3408e+00 4.0864e-01
2.2850e+02 2.1003e+00 3.2359e-01
2.2950e+02 2.2040e+00 2.7607e-01
2.3050e+02 2.3295e+00 2.3100e-01
2.3150e+02 2.1183e+00 3.6837e-01
2.3250e+02 2.3253e+00 3.9075e-01
2.3350e+02 2.3505e+00 5.7023e-01
2.3450e+02 2.3337e+00 3.2040e-01
2.3550e+02 2.1508e+00 4.1432e-01
2.3650e+02 2.0887e+00 3.9539e-01
2.3750e+02 2.1043e+00 4.0106e-01
2.3850e+02 2.0403e+00 1.8387e-01
2.3950e+02 2.1612e+00 4.9273e-01
2.4050e+02 2.2226e+00 4.5383e-01
2.4150e+02 2.1709e+00 3.6567e-01
2.4250e+02 1.9770e+00 2.1146e-01
2.4350e+02 1.9766e+00 4.4081e-01
2.4450e+02 1.9527e+00 3.9457e-01
2.4550e+02 2.0913e+00 3.7154e-01
2.4650e+02 2.0699e+00 2.2686e-01
2.4750e+02 2.2318e+00 1.4063e-01
2.4850e+02 2.0971e+00 3.0458e-01
2.4950e+02 1.9469e+00 3.7852e-01
2.5050e+02 1.9727e+00 3.6292e-01
2.5150e+02 2.0098e+00 5.9230e-01
2.5250e+02 1.9039e+00 1.9982e-01
2.5350e+02 2.0741e+00 1.3509e-01
