# time mean_CV Std_CV
1.6500e-01 1.4169e+00 4.8769e-03
1.6625e-01 1.4169e+00 7.8397e-03
1.6750e-01 1.4143e+00 4.9163e-03
1.6875e-01 1.4109e+00 7.1136e-03
1.7000e-01 1.4116e+00 8.7945e-03
1.7125e-01 1.4101e+00 8.0567e-03
1.7250e-01 1.4077e+00 8.7613e-03
1.7375e-01 1.4049e+00 9.5291e-03
1.7500e-01 1.4035e+00 1.3232e-02
1.7625e-01 1.4044e+00 1.2567e-02
1.7750e-01 1.4034e+00 1.0305e-02
1.7875e-01 1.4053e+00 1.0370e-02
1.8000e-01 1.4046e+00 1.4384e-02
1.8125e-01 1.4016e+00 1.6068e-02
1.8250e-01 1.4047e+00 2.0426e-02
1.8375e-01 1.4025e+00 1.9176e-02
1.8500e-01 1.4019e+00 1.9856e-02
1.8625e-01 1.4018e+00 1.9758e-02
1.8750e-01 1.4019e+00 1.9359e-02
1.8875e-01 1.4018e+00 2.1003e-02
1.9000e-01 1.4014e+00 2.1367e-02
1.9125e-01 1.3966e+00 2.1987e-02
1.9250e-01 1.3988e+00 2.3432e-02
1.9375e-01 1.3937e+00 2.4677e-02
1.9500e-01 1.3963e+00 2.6342e-02
1.9625e-01 1.3983e+00 2.5074e-02
1.9750e-01 1.3979e+00 2.3994e-02
1.9875e-01 1.3972e+00 2.3700e-02
2.0000e-01 1.3950e+00 2.6832e-02
2.0125e-01 1.3902e+00 2.7754e-02
2.0250e-01 1.3908e+00 2.8696e-02
2.0375e-01 1.3926e+00 2.8283e-02
2.0500e-01 1.3931e+00 3.1593e-02
2.0625e-01 1.3914e+00 3.2716e-02
2.0750e-01 1.3925e+00 3.2352e-02
2.0875e-01 1.3879e+00 3.1728e-02
2.1000e-01 1.3878e+00 3.3879e-02
2.1125e-01 1.3884e+00 3.0958e-02
2.1250e-01 1.3890e+00 2.8947e-02
2.1375e-01 1.3883e+00 2.8507e-02
2.1500e-01 1.3889e+00 2.8400e-02
2.1625e-01 1.3858e+00 3.2335e-02
2.1750e-01 1.3862e+00 2.9380e-02
2.1875e-01 1.3884e+00 2.8514e-02
2.2000e-01 1.3887e+00 2.9159e-02
2.2125e-01 1.3867e+00 3.2295e-02
2.2250e-01 1.3895e+00 3.2750e-02
2.2375e-01 1.3893e+00 2.9952e-02
2.2500e-01 1.3894e+00 3.2850e-02
2.2625e-01 1.3890e+00 3.1880e-02
2.2750e-01 1.3879e+00 3.4166e-02
2.2875e-01 1.3898e+00 3.2127e-02
2.3000e-01 1.3878e+00 3.3172e-02
2.3125e-01 1.3905e+00 3.1514e-02
2.3250e-01 1.3883e+00 2.9187e-02
2.3375e-01 1.3864e+00 2.8895e-02
2.3500e-01 1.3894e+00 2.6738e-02
2.3625e-01 1.3908e+00 2.7235e-02
2.3750e-01 1.3919e+00 2.6821e-02
2.3875e-01 1.3943e+00 2.8700e-02
2.4000e-01 1.3941e+00 2.9012e-02
2.4125e-01 1.3935e+00 2.6007e-02
2.4250e-01 1.3922e+00 2.7493e-02
2.4375e-01 1.3903e+00 2.6901e-02
2.4500e-01 1.3930e+00 2.6436e-02
2.4625e-01 1.3928e+00 2.3941e-02
2.4750e-01 1.3929e+00 2.3445e-02
2.4875e-01 1.3913e+00 2.0615e-02
2.5000e-01 1.3937e+00 1.9877e-02
2.5125e-01 1.3932e+00 1.8751e-02
2.5250e-01 1.3924e+00 1.9379e-02
2.5375e-01 1.3923e+00 1.9069e-02
2.5500e-01 1.3942e+00 2.2144e-02
2.5625e-01 1.3932e+00 2.0838e-02
2.5750e-01 1.3907e+00 2.1430e-02
2.5875e-01 1.3861e+00 2.2235e-02
2.6000e-01 1.3893e+00 2.2486e-02
2.6125e-01 1.3872e+00 2.3140e-02
