# RadGy	HullArea	GeodesicLength
1.0241e+02 2.5574e+05 5.4325e+01
1.0241e+02 2.5683e+05 5.0178e+01
1.0153e+02 2.4259e+05 4.7390e+01
1.0124e+02 2.5620e+05 4.9678e+01
1.0249e+02 2.5687e+05 5.0081e+01
1.0200e+02 2.4862e+05 4.7762e+01
1.0092e+02 2.4535e+05 4.7993e+01
1.0044e+02 2.5943e+05 5.4494e+01
1.0063e+02 2.4726e+05 5.7160e+01
1.0114e+02 2.5402e+05 5.2784e+01
1.0178e+02 2.5946e+05 5.0824e+01
1.0117e+02 2.5789e+05 5.1103e+01
1.0102e+02 2.9258e+05 5.6810e+01
1.0060e+02 2.5299e+05 5.5288e+01
1.0025e+02 2.4652e+05 5.4277e+01
1.0165e+02 2.6596e+05 5.1999e+01
1.0020e+02 2.3876e+05 4.7504e+01
1.0061e+02 2.4814e+05 6.0722e+01
1.0091e+02 2.4647e+05 5.2020e+01
1.0090e+02 2.4370e+05 5.7698e+01
1.0080e+02 2.4966e+05 5.2953e+01
1.0106e+02 2.4740e+05 5.2127e+01
1.0253e+02 2.6513e+05 5.1221e+01
1.0180e+02 2.4710e+05 4.9551e+01
1.0115e+02 2.4690e+05 5.1880e+01
1.0064e+02 2.4905e+05 5.2078e+01
1.0151e+02 2.4517e+05 5.4588e+01
1.0033e+02 2.4590e+05 5.5822e+01
1.0089e+02 2.5632e+05 5.0438e+01
1.0218e+02 2.5977e+05 4.8546e+01
1.0309e+02 2.6195e+05 6.0314e+01
1.0077e+02 2.5783e+05 4.6113e+01
1.0168e+02 2.5781e+05 5.0694e+01
1.0126e+02 2.4663e+05 5.4298e+01
1.0046e+02 2.4554e+05 5.0522e+01
9.9736e+01 2.3997e+05 6.0566e+01
1.0021e+02 2.5695e+05 4.9762e+01
1.0009e+02 2.3954e+05 5.3133e+01
1.0151e+02 2.4863e+05 5.0065e+01
1.0033e+02 2.4553e+05 5.0715e+01
1.0045e+02 2.4840e+05 5.6448e+01
1.0045e+02 2.3787e+05 5.3257e+01
1.0115e+02 2.4545e+05 5.3046e+01
1.0152e+02 2.5780e+05 5.2316e+01
1.0122e+02 2.5662e+05 7.3624e+01
1.0080e+02 2.3712e+05 5.3572e+01
1.0108e+02 2.5536e+05 5.0061e+01
1.0128e+02 2.5610e+05 5.6513e+01
1.0103e+02 2.4536e+05 5.8292e+01
1.0122e+02 2.4612e+05 6.2732e+01
1.0115e+02 2.5358e+05 5.2582e+01
1.0223e+02 2.6518e+05 4.6309e+01
1.0089e+02 2.5901e+05 5.1597e+01
1.0199e+02 2.5354e+05 6.1533e+01
1.0161e+02 2.5441e+05 5.4041e+01
1.0149e+02 2.4107e+05 6.0096e+01
1.0063e+02 2.5266e+05 5.8356e+01
1.0201e+02 2.5977e+05 5.6268e+01
9.9363e+01 2.3664e+05 5.0942e+01
1.0079e+02 2.5320e+05 5.8731e+01
1.0205e+02 2.5216e+05 5.4572e+01
1.0112e+02 2.6010e+05 4.8690e+01
1.0065e+02 2.5035e+05 4.6125e+01
1.0262e+02 2.5607e+05 5.9132e+01
1.0009e+02 2.4669e+05 5.1744e+01
1.0125e+02 2.5270e+05 5.4372e+01
9.9989e+01 2.4359e+05 6.0229e+01
1.0083e+02 2.5931e+05 4.8125e+01
1.0041e+02 2.6289e+05 5.1429e+01
1.0126e+02 2.5308e+05 4.7756e+01
1.0111e+02 2.5167e+05 5.6025e+01
1.0016e+02 2.4325e+05 6.0412e+01
1.0066e+02 2.5917e+05 5.0426e+01
1.0123e+02 2.5369e+05 4.7810e+01
1.0157e+02 2.5491e+05 5.9638e+01
1.0070e+02 2.5352e+05 4.8428e+01
1.0135e+02 2.5313e+05 5.5229e+01
1.0081e+02 2.6094e+05 5.1139e+01
1.0066e+02 2.6247e+05 4.8238e+01
1.0178e+02 2.4739e+05 5.3330e+01
1.0042e+02 2.3801e+05 5.0421e+01
1.0111e+02 2.5422e+05 5.3370e+01
1.0187e+02 2.5664e+05 7.1159e+01
1.0115e+02 2.5124e+05 5.8161e+01
9.9805e+01 2.4222e+05 5.5708e+01
1.0038e+02 2.4750e+05 4.9401e+01
1.0035e+02 2.4701e+05 5.0896e+01
1.0011e+02 2.5263e+05 5.2962e+01
1.0108e+02 2.5903e+05 5.2126e+01
1.0079e+02 2.4556e+05 5.2226e+01
1.0128e+02 2.4303e+05 5.3926e+01
1.0186e+02 2.4821e+05 5.8208e+01
1.0073e+02 2.4412e+05 5.1548e+01
1.0027e+02 2.4676e+05 4.9818e+01
1.0127e+02 2.5410e+05 4.6924e+01
1.0012e+02 2.5616e+05 5.3390e+01
9.9284e+01 2.4284e+05 5.8038e+01
1.0062e+02 2.5281e+05 4.9763e+01
9.9861e+01 2.4743e+05 5.6355e+01
1.0169e+02 2.5900e+05 5.6188e+01
