# Time	Mean	Stdev
3.3250e+00 6.0317e+02 5.1730e+01
3.3500e+00 6.5259e+02 4.5578e+01
3.3750e+00 6.1630e+02 4.6944e+01
3.4000e+00 6.3934e+02 8.9930e+01
3.4250e+00 6.0168e+02 4.3948e+01
3.4500e+00 5.9408e+02 3.6433e+01
3.4750e+00 6.4850e+02 4.5535e+01
3.5000e+00 6.1246e+02 8.2541e+01
3.5250e+00 6.1768e+02 6.1322e+01
3.5500e+00 6.1830e+02 5.7477e+01
3.5750e+00 6.0954e+02 1.0154e+02
3.6000e+00 5.9661e+02 3.6214e+01
3.6250e+00 5.6760e+02 4.4005e+01
3.6500e+00 6.5229e+02 9.4168e+01
3.6750e+00 6.0889e+02 4.4935e+01
3.7000e+00 5.5247e+02 7.8339e+01
3.7250e+00 6.0128e+02 7.8658e+01
3.7500e+00 5.8878e+02 1.7141e+01
3.7750e+00 6.1486e+02 3.2953e+01
3.8000e+00 6.5975e+02 1.8742e+01
3.8250e+00 6.1983e+02 2.0122e+01
3.8500e+00 6.4390e+02 5.5453e+01
3.8750e+00 5.8845e+02 3.5547e+01
3.9000e+00 6.1672e+02 3.3363e+01
3.9250e+00 5.9588e+02 5.5778e+01
3.9500e+00 6.5720e+02 6.9484e+01
3.9750e+00 6.3715e+02 6.4450e+01
4.0000e+00 6.1115e+02 4.9638e+01
4.0250e+00 5.7890e+02 4.7577e+00
4.0500e+00 5.6885e+02 4.3898e+01
4.0750e+00 6.0372e+02 4.5257e+01
4.1000e+00 5.9114e+02 6.6485e+01
4.1250e+00 6.0523e+02 6.8999e+01
4.1500e+00 6.4132e+02 6.8913e+01
4.1750e+00 6.3821e+02 5.5369e+01
4.2000e+00 6.0380e+02 3.0345e+01
4.2250e+00 6.4411e+02 6.1304e+01
4.2500e+00 6.1437e+02 7.4228e+01
4.2750e+00 6.4919e+02 1.0925e+02
4.3000e+00 6.3384e+02 5.7293e+01
4.3250e+00 6.4937e+02 7.3717e+01
4.3500e+00 7.0549e+02 9.1938e+01
4.3750e+00 6.6803e+02 7.1183e+01
4.4000e+00 6.8824e+02 9.6628e+01
4.4250e+00 6.9528e+02 9.2396e+01
4.4500e+00 6.4906e+02 6.2536e+01
4.4750e+00 5.9784e+02 1.0317e+02
4.5000e+00 6.2496e+02 2.6331e+01
4.5250e+00 6.4183e+02 8.2890e+01
4.5500e+00 5.8761e+02 8.2288e+01
4.5750e+00 6.0103e+02 5.0035e+01
4.6000e+00 5.7836e+02 9.1987e+01
4.6250e+00 5.3216e+02 8.1466e+01
4.6500e+00 5.8783e+02 3.6750e+01
4.6750e+00 5.6311e+02 5.8062e+01
4.7000e+00 5.7180e+02 6.5657e+01
4.7250e+00 5.4871e+02 9.8260e+01
4.7500e+00 7.2201e+02 6.8505e+01
4.7750e+00 6.6584e+02 7.8932e+01
4.8000e+00 6.1755e+02 7.1517e+01
4.8250e+00 6.2872e+02 6.1819e+01
4.8500e+00 6.0770e+02 9.0631e+01
4.8750e+00 6.3985e+02 5.7125e+01
4.9000e+00 6.4081e+02 5.1014e+01
4.9250e+00 6.2407e+02 9.0626e+01
4.9500e+00 6.2296e+02 5.3172e+01
4.9750e+00 6.2583e+02 3.1328e+01
5.0000e+00 6.8935e+02 7.3465e+01
