# time mean_CV Std_CV
1.6500e-01 1.3370e+02 3.5761e+00
1.6625e-01 1.3343e+02 3.8765e+00
1.6750e-01 1.3264e+02 3.7225e+00
1.6875e-01 1.3249e+02 3.2831e+00
1.7000e-01 1.3223e+02 3.4024e+00
1.7125e-01 1.3210e+02 3.2587e+00
1.7250e-01 1.3219e+02 3.0061e+00
1.7375e-01 1.3187e+02 3.1466e+00
1.7500e-01 1.3130e+02 3.1488e+00
1.7625e-01 1.3120e+02 3.2404e+00
1.7750e-01 1.3089e+02 3.1304e+00
1.7875e-01 1.3052e+02 3.0017e+00
1.8000e-01 1.3022e+02 2.8842e+00
1.8125e-01 1.2968e+02 2.9076e+00
1.8250e-01 1.2941e+02 3.3544e+00
1.8375e-01 1.2948e+02 3.3887e+00
1.8500e-01 1.2955e+02 3.4392e+00
1.8625e-01 1.2930e+02 3.5425e+00
1.8750e-01 1.2887e+02 3.5791e+00
1.8875e-01 1.2863e+02 3.5079e+00
1.9000e-01 1.2828e+02 3.4833e+00
1.9125e-01 1.2787e+02 3.2381e+00
1.9250e-01 1.2777e+02 3.4426e+00
1.9375e-01 1.2745e+02 3.2531e+00
1.9500e-01 1.2721e+02 3.1923e+00
1.9625e-01 1.2672e+02 3.6521e+00
1.9750e-01 1.2635e+02 3.5705e+00
1.9875e-01 1.2614e+02 3.5873e+00
2.0000e-01 1.2606e+02 4.0420e+00
2.0125e-01 1.2553e+02 3.9355e+00
2.0250e-01 1.2579e+02 4.3491e+00
2.0375e-01 1.2545e+02 4.3220e+00
2.0500e-01 1.2500e+02 3.7841e+00
2.0625e-01 1.2515e+02 4.2438e+00
2.0750e-01 1.2457e+02 4.0246e+00
2.0875e-01 1.2415e+02 4.3287e+00
2.1000e-01 1.2397e+02 4.5985e+00
2.1125e-01 1.2389e+02 4.3623e+00
2.1250e-01 1.2343e+02 4.4608e+00
2.1375e-01 1.2271e+02 4.4427e+00
2.1500e-01 1.2249e+02 4.0805e+00
2.1625e-01 1.2306e+02 4.2830e+00
2.1750e-01 1.2230e+02 4.3694e+00
2.1875e-01 1.2228e+02 4.5416e+00
2.2000e-01 1.2236e+02 4.2139e+00
2.2125e-01 1.2221e+02 4.1295e+00
2.2250e-01 1.2185e+02 4.3545e+00
2.2375e-01 1.2173e+02 4.5821e+00
2.2500e-01 1.2186e+02 4.5404e+00
2.2625e-01 1.2166e+02 4.0789e+00
2.2750e-01 1.2147e+02 3.6759e+00
2.2875e-01 1.2090e+02 3.9012e+00
2.3000e-01 1.2065e+02 3.9337e+00
2.3125e-01 1.2055e+02 4.2538e+00
2.3250e-01 1.2045e+02 4.7641e+00
2.3375e-01 1.2034e+02 4.8831e+00
2.3500e-01 1.1996e+02 4.3160e+00
2.3625e-01 1.1980e+02 4.1080e+00
2.3750e-01 1.1950e+02 3.8828e+00
2.3875e-01 1.1910e+02 3.7739e+00
2.4000e-01 1.1915e+02 4.0716e+00
2.4125e-01 1.1885e+02 4.0854e+00
2.4250e-01 1.1864e+02 4.1190e+00
2.4375e-01 1.1844e+02 4.1051e+00
2.4500e-01 1.1840e+02 4.1963e+00
2.4625e-01 1.1796e+02 3.7806e+00
2.4750e-01 1.1768e+02 3.8047e+00
2.4875e-01 1.1722e+02 3.7142e+00
2.5000e-01 1.1736e+02 4.1142e+00
2.5125e-01 1.1709e+02 4.1041e+00
2.5250e-01 1.1703e+02 4.3585e+00
2.5375e-01 1.1711e+02 4.4587e+00
2.5500e-01 1.1686e+02 4.8249e+00
2.5625e-01 1.1633e+02 4.6553e+00
2.5750e-01 1.1632e+02 4.6084e+00
2.5875e-01 1.1590e+02 4.4665e+00
2.6000e-01 1.1561e+02 4.4544e+00
2.6125e-01 1.1530e+02 4.4972e+00
2.6250e-01 1.1489e+02 4.7359e+00
2.6375e-01 1.1462e+02 4.5222e+00
2.6500e-01 1.1423e+02 4.4644e+00
2.6625e-01 1.1449e+02 4.6787e+00
2.6750e-01 1.1469e+02 4.5219e+00
2.6875e-01 1.1429e+02 4.5382e+00
2.7000e-01 1.1379e+02 4.4995e+00
2.7125e-01 1.1371e+02 4.6755e+00
2.7250e-01 1.1350e+02 4.4897e+00
2.7375e-01 1.1340e+02 3.9795e+00
2.7500e-01 1.1333e+02 4.3169e+00
2.7625e-01 1.1315e+02 4.1174e+00
2.7750e-01 1.1289e+02 4.3347e+00
2.7875e-01 1.1268e+02 4.4885e+00
2.8000e-01 1.1271e+02 4.3060e+00
2.8125e-01 1.1224e+02 4.2815e+00
2.8250e-01 1.1235e+02 4.1117e+00
2.8375e-01 1.1225e+02 4.2343e+00
2.8500e-01 1.1165e+02 3.8832e+00
2.8625e-01 1.1125e+02 3.8651e+00
2.8750e-01 1.1117e+02 3.8415e+00
2.8875e-01 1.1152e+02 3.6688e+00
2.9000e-01 1.1124e+02 3.8262e+00
2.9125e-01 1.1077e+02 4.0700e+00
2.9250e-01 1.1028e+02 4.0339e+00
2.9375e-01 1.1026e+02 3.5439e+00
2.9500e-01 1.1004e+02 3.5464e+00
2.9625e-01 1.1019e+02 3.3262e+00
2.9750e-01 1.1000e+02 3.1213e+00
2.9875e-01 1.0964e+02 2.9073e+00
3.0000e-01 1.0974e+02 3.2765e+00
3.0125e-01 1.0961e+02 3.3918e+00
3.0250e-01 1.0929e+02 3.5915e+00
3.0375e-01 1.0903e+02 3.9220e+00
3.0500e-01 1.0908e+02 4.0416e+00
3.0625e-01 1.0855e+02 3.6612e+00
3.0750e-01 1.0826e+02 3.5939e+00
3.0875e-01 1.0797e+02 3.7996e+00
3.1000e-01 1.0804e+02 4.0836e+00
3.1125e-01 1.0762e+02 4.0740e+00
3.1250e-01 1.0790e+02 4.2784e+00
3.1375e-01 1.0822e+02 4.1923e+00
3.1500e-01 1.0802e+02 4.1272e+00
3.1625e-01 1.0758e+02 3.9976e+00
3.1750e-01 1.0787e+02 4.0388e+00
3.1875e-01 1.0780e+02 3.7694e+00
3.2000e-01 1.0730e+02 3.8830e+00
3.2125e-01 1.0746e+02 4.0683e+00
3.2250e-01 1.0766e+02 4.1351e+00
3.2375e-01 1.0763e+02 3.8260e+00
3.2500e-01 1.0746e+02 3.6954e+00
3.2625e-01 1.0728e+02 3.6863e+00
3.2750e-01 1.0733e+02 3.5895e+00
3.2875e-01 1.0726e+02 3.1757e+00
3.3000e-01 1.0731e+02 3.4052e+00
3.3125e-01 1.0703e+02 3.4914e+00
3.3250e-01 1.0694e+02 3.2390e+00
3.3375e-01 1.0693e+02 3.1283e+00
3.3500e-01 1.0700e+02 3.3711e+00
3.3625e-01 1.0686e+02 3.2442e+00
3.3750e-01 1.0679e+02 3.3090e+00
3.3875e-01 1.0667e+02 3.6498e+00
3.4000e-01 1.0680e+02 3.9276e+00
3.4125e-01 1.0689e+02 4.0310e+00
3.4250e-01 1.0669e+02 3.8788e+00
3.4375e-01 1.0667e+02 3.9032e+00
3.4500e-01 1.0636e+02 4.3336e+00
3.4625e-01 1.0635e+02 4.2152e+00
3.4750e-01 1.0625e+02 4.1662e+00
3.4875e-01 1.0575e+02 4.2695e+00
3.5000e-01 1.0567e+02 4.0824e+00
3.5125e-01 1.0577e+02 4.0744e+00
3.5250e-01 1.0570e+02 4.4233e+00
3.5375e-01 1.0537e+02 4.1006e+00
3.5500e-01 1.0565e+02 3.6599e+00
3.5625e-01 1.0529e+02 3.8270e+00
3.5750e-01 1.0526e+02 3.6871e+00
3.5875e-01 1.0544e+02 3.9885e+00
3.6000e-01 1.0533e+02 3.7382e+00
3.6125e-01 1.0528e+02 3.7913e+00
3.6250e-01 1.0522e+02 4.1428e+00
3.6375e-01 1.0537e+02 3.7164e+00
3.6500e-01 1.0562e+02 3.6266e+00
3.6625e-01 1.0587e+02 3.2935e+00
3.6750e-01 1.0567e+02 2.9994e+00
3.6875e-01 1.0571e+02 3.1556e+00
3.7000e-01 1.0556e+02 2.9241e+00
3.7125e-01 1.0538e+02 2.4844e+00
3.7250e-01 1.0528e+02 2.6905e+00
3.7375e-01 1.0510e+02 2.9349e+00
3.7500e-01 1.0479e+02 3.2888e+00
3.7625e-01 1.0470e+02 3.3150e+00
3.7750e-01 1.0447e+02 4.0010e+00
3.7875e-01 1.0445e+02 3.9264e+00
3.8000e-01 1.0424e+02 3.9887e+00
3.8125e-01 1.0430e+02 3.8311e+00
3.8250e-01 1.0406e+02 3.8490e+00
3.8375e-01 1.0387e+02 3.8881e+00
3.8500e-01 1.0406e+02 3.8406e+00
3.8625e-01 1.0374e+02 3.9253e+00
3.8750e-01 1.0374e+02 3.9766e+00
3.8875e-01 1.0363e+02 3.9139e+00
3.9000e-01 1.0386e+02 4.0080e+00
3.9125e-01 1.0320e+02 4.1405e+00
3.9250e-01 1.0337e+02 3.8924e+00
3.9375e-01 1.0341e+02 3.9719e+00
3.9500e-01 1.0354e+02 3.9403e+00
3.9625e-01 1.0359e+02 4.1467e+00
3.9750e-01 1.0355e+02 4.1228e+00
3.9875e-01 1.0353e+02 3.9538e+00
4.0000e-01 1.0338e+02 4.1933e+00
4.0125e-01 1.0332e+02 4.3662e+00
4.0250e-01 1.0357e+02 4.3471e+00
4.0375e-01 1.0332e+02 3.9822e+00
4.0500e-01 1.0329e+02 3.9839e+00
4.0625e-01 1.0338e+02 3.8480e+00
4.0750e-01 1.0361e+02 3.8585e+00
4.0875e-01 1.0357e+02 3.8527e+00
4.1000e-01 1.0344e+02 3.9131e+00
4.1125e-01 1.0324e+02 4.1271e+00
4.1250e-01 1.0354e+02 3.8794e+00
4.1375e-01 1.0356e+02 3.7394e+00
4.1500e-01 1.0361e+02 3.8624e+00
4.1625e-01 1.0314e+02 3.7537e+00
4.1750e-01 1.0333e+02 3.9883e+00
4.1875e-01 1.0329e+02 4.0762e+00
4.2000e-01 1.0323e+02 4.0886e+00
4.2125e-01 1.0321e+02 3.9243e+00
4.2250e-01 1.0320e+02 3.9067e+00
4.2375e-01 1.0321e+02 4.0898e+00
4.2500e-01 1.0306e+02 4.3446e+00
4.2625e-01 1.0313e+02 4.5201e+00
4.2750e-01 1.0322e+02 4.4197e+00
4.2875e-01 1.0280e+02 4.2582e+00
4.3000e-01 1.0280e+02 4.3234e+00
